Country,Year,Total,V_total,R,R_V_ratio,capacity_factor,band,rupture_probability,rupture_occurred
Somalia,2023,111.9,9.325,0.6750000000000007,0.0723860589812333,0.0675000000000001,1-2 quarters,0.9638069705093834,0
Yemen,2023,108.9,9.075,0.9250000000000008,0.1019283746556474,0.0925,1-2 quarters,0.9490358126721764,0
South Sudan,2023,108.5,9.041666666666668,0.958333333333332,0.1059907834101381,0.0958333333333332,1-2 quarters,0.9470046082949308,0
Congo Democratic Republic,2023,107.19999999999996,8.933333333333332,1.0666666666666682,0.119402985074627,0.1066666666666669,1-2 quarters,0.9402985074626864,0
Syria,2023,107.1,8.925,1.0749999999999993,0.1204481792717085,0.1074999999999999,1-2 quarters,0.9397759103641457,0
Afghanistan,2023,106.6,8.883333333333335,1.1166666666666654,0.1257035647279548,0.1116666666666665,1-2 quarters,0.9371482176360226,0
Sudan,2023,106.2,8.85,1.1500000000000004,0.1299435028248588,0.1150000000000001,1-2 quarters,0.9350282485875706,0
Central African Republic,2023,105.70000000000002,8.808333333333335,1.1916666666666649,0.1352885525070953,0.1191666666666665,1-2 quarters,0.9323557237464524,0
Chad,2023,104.6,8.716666666666667,1.2833333333333332,0.147227533460803,0.1283333333333333,1-2 quarters,0.9263862332695983,0
Haiti,2023,102.9,8.575,1.4250000000000007,0.1661807580174928,0.1425,1-2 quarters,0.9169096209912536,0
Ethiopia,2023,100.4,8.366666666666665,1.6333333333333346,0.1952191235059762,0.1633333333333334,1-2 quarters,0.9023904382470118,0
Myanmar,2023,100.19999999999996,8.349999999999998,1.650000000000002,0.1976047904191619,0.1650000000000002,1-2 quarters,0.901197604790419,0
Mali,2023,99.5,8.291666666666666,1.708333333333334,0.2060301507537689,0.1708333333333332,1-2 quarters,0.8969849246231155,0
Guinea,2023,98.5,8.208333333333334,1.791666666666666,0.2182741116751268,0.1791666666666665,1-2 quarters,0.8908629441624366,0
Nigeria,2023,98.0,8.166666666666666,1.833333333333334,0.2244897959183674,0.1833333333333334,1-2 quarters,0.8877551020408163,0
Zimbabwe,2023,96.9,8.075000000000001,1.924999999999999,0.2383900928792568,0.1925,1-2 quarters,0.8808049535603716,0
Libya,2023,96.1,8.008333333333333,1.9916666666666671,0.2486992715920916,0.1991666666666667,1-2 quarters,0.8756503642039541,0
Ukraine,2023,95.9,7.991666666666666,2.0083333333333337,0.251303441084463,0.2008333333333334,1-2 quarters,0.8743482794577685,0
Eritrea,2023,94.5,7.874999999999999,2.125000000000001,0.26984126984127,0.2125000000000001,1-2 quarters,0.865079365079365,0
Burundi,2023,94.2,7.849999999999999,2.150000000000001,0.2738853503184715,0.215,1-2 quarters,0.8630573248407643,0
Burkina Faso,2023,94.0,7.833333333333335,2.166666666666665,0.2765957446808508,0.2166666666666665,1-2 quarters,0.8617021276595747,0
Mozambique,2023,94.0,7.833333333333333,2.166666666666667,0.2765957446808511,0.2166666666666666,1-2 quarters,0.8617021276595744,0
Cameroon,2023,94.0,7.833333333333332,2.166666666666668,0.2765957446808512,0.2166666666666667,1-2 quarters,0.8617021276595744,0
Niger,2023,93.4,7.783333333333332,2.216666666666668,0.2847965738758031,0.2216666666666668,1-2 quarters,0.8576017130620984,0
Lebanon,2023,91.79999999999998,7.649999999999999,2.3500000000000014,0.3071895424836603,0.2350000000000001,1-2 quarters,0.8464052287581698,0
Uganda,2023,91.5,7.625,2.375,0.3114754098360656,0.2375,1-2 quarters,0.8442622950819672,0
Iraq,2023,91.4,7.616666666666666,2.3833333333333337,0.312910284463895,0.2383333333333334,1-2 quarters,0.8435448577680524,0
Congo Republic,2023,90.7,7.558333333333334,2.4416666666666664,0.3230429988974641,0.2441666666666666,1-2 quarters,0.8384785005512679,0
Venezuela,2023,90.5,7.541666666666667,2.458333333333333,0.3259668508287292,0.2458333333333333,1-2 quarters,0.8370165745856354,0
Sri Lanka,2023,90.3,7.525000000000001,2.4749999999999988,0.3289036544850496,0.2474999999999999,1-2 quarters,0.8355481727574752,1
Guinea Bissau,2023,89.90000000000002,7.491666666666668,2.508333333333332,0.3348164627363735,0.2508333333333331,1-2 quarters,0.8325917686318133,0
Pakistan,2023,89.89999999999999,7.491666666666666,2.5083333333333337,0.3348164627363738,0.2508333333333333,1-2 quarters,0.8325917686318131,0
